全国地方公共団体コード,ID,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,市区町村コード,地方公共団体名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
,,北の丸公園,,,131016.0,,千代田区北の丸公園1ほか,,千代田区,,,,35.69198,139.750564,,,,,,,,,,,,,1.0,,,,,,,,,,,
,,皇居東御苑,,,131016.0,,千代田区千代田1,,千代田区,,,,35.686863,139.757162,,,,,,,,,,,,,1.0,,,,,,,,,,,
,,皇居外苑,,,131016.0,,千代田区皇居外苑1ほか,,千代田区,,,,35.680258,139.757693,,,,,,,,,,,,,1.0,,,,,,,,,,,
,,日比谷公園,,,131016.0,,千代田区日比谷公園1,,千代田区,,,,35.673576,139.755893,,,,,,,,,,,,,1.0,,,,,,,,,,,
,,真田堀運動場,,,131016.0,,千代田区紀尾井町5ほか,,千代田区,,,,35.68278,139.731059,,,,,,,,,,,,,1.0,,,,,,,,,,,
,,外濠公園,,,131016.0,,千代田区五番町先,,千代田区,,,,35.68864,139.73097,,,,,,,,,,,,,1.0,,,,,,,,,,,
,,麹町小学校,,,131016.0,,千代田区麹町２－８,,千代田区,,,,35.685573,139.739317,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,
,,九段小学校,,,131016.0,,千代田区三番町１６,,千代田区,,,,35.690366,139.740845,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,
,,番町小学校,,,131016.0,,千代田区六番町８,,千代田区,,,,35.688163,139.734126,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,麹町中学校,,,131016.0,,千代田区平河町２－５－１,,千代田区,,,,35.680493,139.73867,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,
,,富士見みらい館,,,131016.0,,千代田区富士見１－１０－３,,千代田区,,,,35.697182,139.746403,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,
,,神田一橋中学校,,,131016.0,,千代田区一ツ橋２－６－１４,,千代田区,,,,35.694133,139.756828,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,
,,神田さくら館,,,131016.0,,千代田区神田司町２－１６,,千代田区,,,,35.693327,139.768393,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,昌平童夢館,,,131016.0,,千代田区外神田３－４－７,,千代田区,,,,35.701306,139.769766,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,
,,アーツ千代田3331,,,131016.0,,千代田区外神田６－１１－１４,,千代田区,,,,35.704267,139.770632,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,
,,ちよだパークサイドプラザ,,,131016.0,,千代田区神田和泉町１,,千代田区,,,,35.699212,139.778598,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,
,,旧今川中学校,,,131016.0,,千代田区鍛冶町２－４－２,,千代田区,,,,35.691178,139.773051,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,
,,都立一橋高校,,,131016.0,,千代田区東神田１－１２－１３,,千代田区,,,,35.694526,139.780984,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,
,,区立スポーツセンター,,,131016.0,,千代田区内神田２－１－８,,千代田区,,,,35.689298,139.767632,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,岩本町ほほえみプラザ,,,131016.0,,千代田区岩本町２－１５－３,,千代田区,,,,35.694328,139.777812,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,
,,明治大学,,,131016.0,,千代田区神田駿河台１－１,,千代田区,,,,35.697323,139.761579,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
,,上智大学,,,131016.0,,千代田区紀尾井町７－１,,千代田区,,,,35.68511,139.73164,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
,,日本大学会館,,,131016.0,,千代田区九段南４－８－２４,,千代田区,,,,35.691261,139.737391,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
,,日本大学通信教育学部,,,131016.0,,千代田区九段南４－８－２８,,千代田区,,,,35.69164,139.73788,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
,,日本大学歯学部,,,131016.0,,千代田区神田駿河台１－８－１３,,千代田区,,,,35.698122,139.764223,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
,,日本大学理工学部①,,,131016.0,,千代田区神田駿河台１－８－１４,,千代田区,,,,35.697587,139.763601,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
,,日本大学理工学部②,,,131016.0,,千代田区神田駿河台３－１１－２,,千代田区,,,,35.697337,139.765328,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
,,日本大学経済学部,,,131016.0,,千代田区神田三崎町１－３－２,,千代田区,,,,35.700234,139.756266,,,,,,,,,,1.0,,,,,,,,,,,,,,
,,日本大学法学部①,,,131016.0,,千代田区神田三崎町２－１－３,,千代田区,,,,35.699859,139.75544,,,,,,,,,,1.0,,,,,,,,,,,,,,
,,日本大学法学部②,,,131016.0,,千代田区西神田２－７－１０,,千代田区,,,,35.699359,139.755349,,,,,,,,,,1.0,,,,,,,,,,,,,,
,,京橋区民館,,,131024.0,,中央区京橋2-6-7,,中央区,,,,35.676558,139.771358,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,京橋プラザ,,,131024.0,,中央区銀座1-25-3,,中央区,,,,35.673233,139.771678,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,泰明小学校,,,131024.0,,中央区銀座5-1-13,,中央区,,,,35.672333,139.761326,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,銀座中学校,,,131024.0,,中央区銀座8-19-15,,中央区,,,,35.665698,139.765034,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,中央小学校,,,131024.0,,中央区湊1-4-1,,中央区,,,,35.672201,139.778753,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,明石小学校,,,131024.0,,中央区明石町1-15,,中央区,,,,35.668438,139.776409,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,京橋築地小学校,,,131024.0,,中央区築地2-13-1,,中央区,,,,35.667959,139.771414,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,京華スクエア,,,131024.0,,中央区八丁堀3-17-9,,中央区,,,,35.674903,139.775664,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,明正小学校,,,131024.0,,中央区新川2-13-4,,中央区,,,,35.67597,139.781569,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,常盤小学校,,,131024.0,,中央区日本橋本石町4-4-26,,中央区,,,,35.688476,139.770558,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,十思スクエア,,,131024.0,,中央区日本橋小伝馬町5-1,,中央区,,,,35.690646,139.777104,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,日本橋小学校,,,131024.0,,中央区日本橋人形町1-1-17,,中央区,,,,35.684677,139.78141,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,有馬小学校,,,131024.0,,中央区日本橋蛎殻町2-10-23,,中央区,,,,35.683272,139.787993,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,久松小学校,,,131024.0,,中央区日本橋久松町7-2,,中央区,,,,35.689029,139.784316,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,日本橋中学校,,,131024.0,,中央区東日本橋1-10-1,,中央区,,,,35.692498,139.787096,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,阪本小学校,,,131024.0,,中央区日本橋兜町15-18,,中央区,,,,35.67985,139.77681,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,佃島小学校,,,131024.0,,中央区佃2-3-1,,中央区,,,,35.668626,139.78458,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,
,,佃中学校,,,131024.0,,中央区佃2-3-2,,中央区,,,,35.668054,139.785119,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,
,,月島第一小学校,,,131024.0,,中央区月島4-15-1,,中央区,,,,35.660632,139.780067,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,
,,月島第二小学校,,,131024.0,,中央区勝どき1-12-2,,中央区,,,,35.660249,139.775825,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,
,,月島第三小学校,,,131024.0,,中央区晴海1-4-1,,中央区,,,,35.658852,139.785539,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,晴海中学校,,,131024.0,,中央区晴海1-5-3,,中央区,,,,35.659827,139.784584,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,豊海小学校,,,131024.0,,中央区豊海3-1,,中央区,,,,35.653533,139.771473,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,
,,中央区役所,,,131024.0,,中央区築地1-1-1,,中央区,,,,35.670585,139.772006,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
,,日本橋区民センター,,,131024.0,,中央区日本橋蛎殻町1-31-1,,中央区,,,,35.682472,139.784308,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
,,月島区民センター,,,131024.0,,中央区月島4-1-1,,中央区,,,,35.662063,139.78215,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,
,,ほっとプラザはるみ,,,131024.0,,中央区晴海5-2-3,,中央区,,,,35.65205,139.774787,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,
,,晴海地区,,,130001.0,,中央区晴海,,東京都,,,,35.653282,139.779028,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,新川ツインビル地区,,,130001.0,,中央区新川,,東京都,,,,35.674497,139.784437,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,佃リバーシティ地区,,,130001.0,,中央区佃,,東京都,,,,35.669372,139.784976,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,あかつき公園一帯,,,130001.0,,中央区築地、明石町,,東京都,,,,35.666349,139.776264,,,,,,,,,,,,,,,1.0,,,,,,,,,
,,生涯学習センター,,,131032.0,,港区新橋3-16-3,,港区,,,,35.66556,139.757102,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
,,障害保健福祉センター,,,131032.0,,港区芝1-8-23,,港区,,,,35.651643,139.755555,,,,,,,,,,,,,,,,,,,,,,,,
,,芝小学校,,,131032.0,,港区芝2-21-3,,港区,,,,35.651302,139.75018,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,三田図書館,,,131032.0,,港区芝5-36-4,,港区,,,,35.645067,139.742457,,,,,,,,,,,,,,1.0,,,,,,,,,,
,,御成門中学校,,,131032.0,,港区西新橋3-25-30,,港区,,,,35.661632,139.750369,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
,,神明子ども中高生プラザ・神明いきいきプラザ,,,131032.0,,港区浜松町1-6-7,,港区,,,,35.658765,139.757662,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
,,エコプラザ,,,131032.0,,港区浜松町1-13-1,,港区,,,,35.658849,139.756888,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
,,御成門小学校,,,131032.0,,港区芝公園3-2-4,,港区,,,,35.660984,139.749519,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
,,みなと図書館,,,131032.0,,港区芝公園3-2-25,,港区,,,,35.659896,139.750124,,,,,,,,,,,,,,1.0,,,,,,,,,,
